Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Term_Years,log_CIHR_Contribution,Year
"Frohlick, Susan E; Migliardi, Paula",University of Manitoba,CIHR Café Scientifique Program,201305SCI,CIHR Café Scientifique Program,"""I always feel like they will judge me:"" Why is talking about sex so hard? African newcomer youths' voices and youth sexual health",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2013
"Fulcher, Karyn",University of Victoria (British Columbia),Travel Awards - Institute Community Support,201808ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"""It's kind of like a little holiday"": Pleasure, risk, and consent among group sex party attendees",1500,0,1 yr 0 mth ,1.0,7.313886831633462,2018
"Pothier, Melanie","York University (Toronto, Ontario)",Travel Awards - Institute Community Support,201505ISU,Institute of Population and Public Health - Travel Awards,"""It's not as diverse as it could be"": how participants in Hamilton's Neighbourhood Action are addressing issues of inclusion",1309,0,1 yr 0 mth ,1.0,7.177782416195197,2015
"Robinson, Rheanna; Parkes, Margot W",University of Northern British Columbia,Planning and Dissemination Grant - Institute Community Support,202402PCS,Planning and Dissemination Grants,"""Its about time"": Planning for health research infrastructure and innovation that prioritises inclusivity, diversity, equity and accessibility, and is designed with Indigenous, rural, remote and northern communities in mind.",20000,0,1 yr 0 mth ,1.0,9.90353755128617,2024
"Avery Kinew, Kathi",University of Manitoba,"Planning Grants - PA: First Nations, Inuit or Métis Planning Activities",201110PME,Planning Grants,"""Ki nisitotawin na?"" (""Do you understand me?""):  First Nations in Manitoba setting their own health research priorities.",25000,0,1 yr 0 mth ,1.0,10.12667110305036,2011
"O'Campo, Patricia J",Unity Health Toronto,Operating Grant: Programmatic Grants to tackle health and health equity - LOI,201007ROG,Programmatic Grant in Health & Health Equity (LOI),"""Knowledge for Urban Intersectoral Action for Health"": A Population Health Interventions Research Program to Advance Health Equity in Cities",15000,0,0 yr 5 mths ,0.4166666666666667,9.61587214452889,2010
"Buse, Christopher G",University of Northern British Columbia,Travel Awards - Institute Community Support,201607ISU,Institute of Indigenous Peoples' Health,"""Lots Of Data, Little Information"": Beyond Environmental Assessment And Towards The Next Generation Of Integrative Cumulative Impact Assessment",2800,0,1 yr 0 mth ,1.0,7.937731775260109,2016
"Jull, Janet E; Doering, Paula","Queen's University (Kingston, Ontario)",Project Grant,201803PJT,Indigenous Health Research,"""Not deciding alone"": Field-testing a knowledge translation peer support shared decision making strategy with Inuit making health decisions and who travel to receive healthcare outside of Nunavut",191251,0,2 yrs 0 mth ,0.0,12.161347209150442,2018
"Skakoon-Sparling, Shayna P",University of Guelph,Travel Awards - Institute Community Support,201707ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"""Not the condom police"": Challenges and strategies for Ontario outreach workers talking about HIV transmission risk.",1369,0,1 yr 0 mth ,1.0,7.222566018822171,2017
"Wali, Sahr",University of Toronto,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - B,"""Nothing about us without us"" - Development of a patient-centered digital health self-management program for marginalized, underserved populations with heart failure",105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2019
"Castleden, Heather E; Lewis, Diana M","Queen's University (Kingston, Ontario)",Planning and Dissemination Grant - Institute Community Support,201601PCS,Planning and Dissemination - IIPH,"""Our Ancestors are in Our Land, Water, and Air"": Community First - Sharing our Stories of Using a Two-Eyed Seeing Approach to Research Environmental Health Concerns with Pictou Landing First Nation",11990,0,1 yr 0 mth ,1.0,9.391911647379434,2016
"Ribeiro, Nuno F",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Indigenous Peoples' Health,"""Science"" Ekwa Inniw-Nisitootumowin: Using A Two-Eyed Seeing Methodological Approach To Aboriginal Youth´s Risky Health Behaviors",1440,0,0 yr 3 mths ,0.25,7.273092595999522,2013
"Gagnon, Marilou; Guta, Adrian",University of Ottawa,Project Grant,201803PJT,"Public, Community & Population Health 2","""Smoking is better than taking pills"": a longitudinal qualitative study of cannabis use and symptom management among people living with HIV",263925,0,4 yrs 0 mth ,0.0,12.483424039805913,2018
"Dickens, Rachel M; Atleo, Matilda; Watts, Jeannette C",University of British Columbia,Team Gr: Diabetes Prevention & Treatment in Indigenous Communities: R&W - LOI,202105DPL,Diabetes Prevention and Treatment in Indigenous Communities: Resili. and Well. LOI,"""Tee Cha Chitl"" (TCC) Getting Well Again Community-Driven Nulth-chah-nulth (NCN) Diabetes Wellness Retreats",34880,0,1 yr 0 mth ,1.0,10.459697547336718,2021
"Twohig, Peter L",Saint Mary's University (Nova Scotia),Operating Grant,201009MOP,"Humanities, Social Sciences, Law & Ethics in Health","""The Advantage of Working Together"": Health Care Workers in the Age of Medicare",72563,0,3 yrs 0 mth ,0.0,11.192224210061212,2010
"Baker-French, Sophia R",University of British Columbia,Master's Award: Canada Graduate Scholarships,201202GSM,Canada Graduate Scholarships Master's Awards B,"""The determinants of food insecurity among women and children in Bolivia's Amazon Basin""",17500,0,1 yr 0 mth ,1.0,9.770013301136158,2012
"Lalani, Yasmin",Direct Payment,Travel Awards - Institute Community Support,201201ISU,Institute of Gender and Health,"""We Are Part of the Solution"":  Women Sex Worker Activists Challenging Gender for HIV/AIDS Prevention in the Peruvian Amazon",2010,0,0 yr 1 mth ,0.08333333333333333,7.606387389772652,2012
"Burles, Meridith C",Direct Payment,Travel Awards - Institute Community Support,201205ISU,Institute of Gender and Health,"""We deal with it every day that we're here"": A Qualitative Exploration of Women's Experiences of Ovarian Cancer",2500,0,0 yr 1 mth ,0.08333333333333333,7.824445930877619,2012
"Rishworth, Andrea",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201901ISU,Institute of Aging,"""We're raped and defiled cause they think we're into witchcraft"": Examining the Health Impacts of Witchcraft Accusations Among Elderly Women in Uganda",1000,0,1 yr 0 mth ,1.0,6.90875477931522,2019
"Mellor, Andrea F","Communities, Alliances & Networks (Saskatchewan)",Travel Awards - Institute Community Support,201901ISU,Institute of Indigenous Peoples' Health,"""Weaving Our Wisdoms"": Using a Land-Based Approach to Optimize Whole-istic Health Among Indigenous People Living with HIV",1388,0,1 yr 0 mth ,1.0,7.236339342754344,2019
"Monchalin, Renee J","York University (Toronto, Ontario)",Travel Awards - Institute Community Support,201501ISU,Institute of Indigenous Peoples' Health,"""When you follow your heart, you provide that path for others"": Indigenous Models of Youth HIV Leadership",2500,0,1 yr 0 mth ,1.0,7.824445930877619,2015
"Shareck, Martine",Université de Sherbrooke,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,"""Why is it they're fixing the outside?"": Rethinking the Role of the Built Environment in Promoting Health Among Marginalized Communities",1500,0,1 yr 0 mth ,1.0,7.313886831633462,2020
"Daly, Tamara; Wood, Teresa","York University (Toronto, Ontario)",Catalyst Grant: Work Stress and Wellbeing Hackathon,201610WSW,Catalyst Grant: Work Stress and Wellbeing Hackathon,"""Working Well"": Developing An E-Mental Health App for Long-term Care Workers",75000,0,1 yr 0 mth ,1.0,11.225256725762893,2016
"Moll, Sandra; Cullen, GLenn; Slade, Kimberley",McMaster University,Catalyst Grant: PTSI among PSP workers,201809PPS,Post-Traumatic Stress Injuries among Public Safety Personnel,"""e-Ami"": Co-designing a mobile health approach to PTSI prevention and peer support with Ontario public safety personnel",149923,0,1 yr 0 mth ,1.0,11.917883778012799,2018
"Demmers, Théa",Université de Montréal,Doctoral: Vanier Canada Graduate Scholarships,202311CGV,Vanier Canada Graduate Scholarships CIHR,"#WeFeedYou, and yet...: Factors shaping temporary migrant workers' food security and health in Quebec's agri-food system",150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2023
"Blanchet, Rosanne; Gautier, Lara",Université de Montréal,Project Grant,202209PJT,"Public, Community & Population Health","#WeFeedYou, and yet...: How are temporary migrant workers' food security, nutrition and health shaped in Quebec's agri-food system - A participatory action research multiple-case study",424576,0,4 yrs 0 mth ,0.0,12.958848658154821,2022
"Alvarez Jaramillo, Liliana",University of Western Ontario,Project Grant,202010PJT,Social & Developmental Aspects of Children's & Youth's Health,#dontdrivehigh: Establishing Youth's Risk Profiles for Driving Under the Influence of Cannabis,195075,0,3 yrs 0 mth ,0.0,12.181144505205323,2020
"Erickson, Marion R",University of Northern British Columbia,Health System Impact Fellowships - Doctoral Western Canada  1-year,202402IF4,Health System Impact Fellowship doctoral trainees (IHSPR DRA),'Alhgoh Ts'eke'e'ulhtsih Ts'eztidoh: We will all work together to wake up the Midwife,35000,0,1 yr 0 mth ,1.0,10.463131911491967,2024
"Storey, Kate E",University of Alberta,Catalyst Grant: CPHO Report - General Pool,202303FO4,Catalyst Grant : Chief Public Health Officer (CPHO) Report 2023,'Build it so they will come.' Understanding lived experience to catalyze active transportation as a climate change intervention,125000,0,1 yr 0 mth ,1.0,11.736077016252437,2023
"Martin, Ruth E",University of British Columbia,Dissemination Events - Priority Announcement: HIV/AIDS,201306MHI,Dissemination Events Grants,'Health Beyond Bars: Towards Healthy Prisons in Canada': a meeting for dissemination and discussion of participatory preventive health research findings.,24300,0,1 yr 0 mth ,1.0,10.098272780745283,2013
"Gerlach, Alison",University of British Columbia,Travel Awards - Institute Community Support,201409ISU,Institute of Indigenous Peoples' Health,'Meeting Families Where They're At': Fostering Health Equity for Indigenous Children in Canada,2500,0,1 yr 0 mth ,1.0,7.824445930877619,2014
"Cox, Lori V; Ipsiroglu, Osman S",University of British Columbia,Cat. Gr.: Indig. Appr. to Wellness Research - Wellness in circ./resp. health,201710IA4,Indigenous Approaches to Wellness Research,'Two Eyed Seeing' in Identification of Risk Factors for Iron Deficiency,149219,0,1 yr 0 mth ,1.0,11.913177006025505,2017
"Armstrong, Joshua J",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Aging,(1)Frailty in relation to late-life cognition:  Poisson regression models in data from the Honolulu-Asian Aging Study  (2)Developing Contextual Understanding of Rehabilitation Therapy Services for Older Adults in the Ontario Home Care System:   Semi-structured Interviews within a Knowledge Discovery in Databases (KDD) Project,2500,0,0 yr 3 mths ,0.25,7.824445930877619,2013
"McGinnis, Angela; Gamble, Donald",University of Regina (Saskatchewan),Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,(Re)Connecting Animal-Human Relationships as a Doorway to Indigenous Wellness,145789,0,0 yr 1 mth ,0.08333333333333333,11.889922509098868,2017
"Gauthier-Beaupré, Amélie",University of Ottawa,Travel Awards - Institute Community Support,201802ISU,Summer Program in Aging,*N/A for SUMMER INSTITUTE but provides information on current PhD Project* Conceptual Framework for the Self-Management of Chronic Disabilities with Information and Communication Technologies,670,0,0 yr 1 mth ,0.08333333333333333,6.508769136971682,2018
"Whelan, Meaghan",Memorial University of Newfoundland,CIHR Café Scientifique Program,201106SCI,CIHR Café Scientifique Program,"1 - Cafe Scientifique: Childhood obesity: causes, prevention and treatment  2 - Cafe Scientifique: They are what you eat: the relationship between maternal diet and offspring health",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2011
"Parashar, Surita",Direct Payment,Travel Awards - Institute Community Support,201201ISU,Institute of Population and Public Health - Travel Awards,"1) The way I see it: a photographic exploration of housing and health among people living with HIV in Vancouver, British Columbia; 2) Context counts: Factors influencing neighbourhood perception amongst women and men accessing antiretroviral therapy in British Columbia",1930,0,0 yr 1 mth ,0.08333333333333333,7.565793282428515,2012
"Pearce, Margo E",Direct Payment,Travel Awards - Institute Community Support,201405ISU,Institute of Indigenous Peoples' Health,"1. The Cedar Project: Understanding the continuing effects of childhood maltreatment on HIV risk among young Indigenous people who use drugs in three Canadian cities 2. The Cedar Project: Risk and protective factors for resilience among young, urban Indigenous people who use drugs and have experienced early childhood trauma.",2500,0,0 yr 3 mths ,0.25,7.824445930877619,2014
"Pearce, Margo E",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Indigenous Peoples' Health,1. The Cedar Project: Understanding the lived experiences of child maltreatment and HIV vulnerability among young Indigenous people who use drugs in two Canadian cities  2. The Cedar Project: Qualitative narratives addressing the impact of childhood trauma on stress-coping and pathways to healing among young Indigenous people who use drugs in two Canadian cities,2500,0,0 yr 3 mths ,0.25,7.824445930877619,2013
"Hizo-Abes, Patricia A",University of Western Ontario,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards A,10 year risk of cardiovascular disease after acute gastroenteritis from bacteria-contaminated drinking water,17500,0,1 yr 0 mth ,1.0,9.770013301136158,2009
"Reading, Jeffrey L",University of Victoria (British Columbia),"Dissemination Events - PA: First Nations, Inuit and Métis Health",201206DFN,Dissemination Events Grants,2013 Centre for Aboriginal Health Research's Summer Institute in Aboriginal Health,24801,0,1 yr 0 mth ,1.0,10.118679574062718,2012
"King, Alexandra",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,202202PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,2022 World Indigenous Peoples' Conference on Viral Hepatitis,20000,0,1 yr 0 mth ,1.0,9.90353755128617,2022
"Riazi, Negin A",University of British Columbia,Prize - IHDCYH Talks,201810IHT,Prize - IHDCYH Talks,24-Hour Movement Guidelines for the Early Years (0-4 years): Disseminating the guidelines through an animated video,1000,0,1 yr 0 mth ,1.0,6.90875477931522,2018
"Guerrero, Michelle",Children's Hospital of Eastern Ontario Research Institute Inc,Prize - IHDCYH Talks,201910IHT,Prize - IHDCYH Talks,24-hour movement behaviors and impulsivity among children,750,0,1 yr 0 mth ,1.0,6.621405651764134,2019
"Chambers, Christine T",IWK Health Centre (Halifax),Prize - IHDCYH Talks,201610IHT,Prize - IHDCYH Talks,3 Ways to Instantly Relieve your Baby's Pain,5000,0,1 yr 0 mth ,1.0,8.517393171418904,2016
"Klein, Marina B",Research Institute of the McGill University Health Centre,Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,5th International HIV/Viral Hepatitis Co-infection IAS Satellite Meeting,20000,0,1 yr 0 mth ,1.0,9.90353755128617,2019
"Sinclair, Raven P; Christian, Wayne M",University of Regina (Saskatchewan),Planning and Dissemination Grant - Institute Community Support,201502PCS,Planning and Dissemination - IIPH,60s Scoop/Indigenous Transracial Adoption Research Team Partnership Development and Planning,12000,0,1 yr 0 mth ,1.0,9.392745258631441,2015
"Canadian Coalition  For, Global Hlth Res",Direct Payment,Planning and Dissemination Grant - Institute Community Support,201402PCS,Planning and Dissemination - CSO,8th Summer Institute for Global Health Research: Building Capacity to Address the Health Consequences of Extractive Industries,23450,0,1 yr 0 mth ,1.0,10.06266841688844,2014
"McGrath, Patrick J; Blenus, Jaime L; Lauzon, André G",IWK Health Centre (Halifax),"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",90Second Parent Well-being (PWB),149892,0,1 yr 0 mth ,1.0,11.91767698520178,2021
"Morton, Darrien S",University of Manitoba,Doctoral Research Award: Canada Graduate Scholarships,202111FBD,Doctoral Research Awards - B,A  critical policy analysis of Manitoba's Child Welfare System: How do care pathways impact the mental health trajectories of First Nations and Métis children and youth?,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2021
"Kim, Hyoun",University of Calgary,Catalyst Grant: Health Impacts of Gambling and Gaming,202310GAM,Health Impacts of Gambling and Gaming,"A 6-month, 3-wave longitudinal investigation of the impact and moderators of exposure to sports gambling advertisement and subsequent sports betting and harms",100000,0,1 yr 0 mth ,1.0,11.51293546492023,2023
"Dharma, Christoffer",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,202111CGV,Vanier Canada Graduate Scholarships CIHR,A Bayesian Approach to Understanding Mental Health Burden and Service Utilization among Sexual Minority Men in Canada,150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2021
"Bonnefois, Guillaume A",Direct Payment,Travel Awards - Institute Community Support,201201ISU,Institute of Cancer Research,A Bayesian Signal Decision Approach for the Selection of Anticancer Drug Administration Schedules.,1000,0,0 yr 1 mth ,0.08333333333333333,6.90875477931522,2012
"Perruccio, Anthony; Badley, Elizabeth M",University Health Network (Toronto),Catalyst Grant: Analysis of CLSA Data,201608ACD,Catalyst Grant: Analysis of CLSA Data,A Biopsychosocial Approach to Understanding the Impact of Osteoarthritis on Social Participation: A Population-based Study,70000,0,1 yr 0 mth ,1.0,11.156264806643742,2016
"Riediger, Natalie D",University of Manitoba,Operating Grant: CCHS - Nutrition Analysis,201611NAS,Operating Grant: CCHS - Nutrition Analysis,"A Call to Action towards food equity: Measuring obesity, diet quality, and food security disparities between Indigenous and non-Indigenous populations, 2004 vs. 2015",96120,0,1 yr 0 mth ,1.0,11.473363093458376,2016
"Cooper, Elizabeth; Clark, Megan; Lavallee-Poitras, Tess; Robins, Dawn; Yim, Suzy",University of Regina (Saskatchewan),"Catalyst Grant: Standards for Children and Youth Mental Health Services",202209SCY,Standards for Children and Youth Mental Health Services,A Case Study at the Intersection: Indigenous 2SLGBTQI+ Youth Mental Health System and Service Needs in Northern Saskatchewan,194000,4000,1 yr 0 mth ,1.0,12.175618592671356,2022
"Everitt, Tracy",University of Saskatchewan,Travel Awards - Institute Community Support,201802ISU,CPHA Conference,A Characterization of Children's Lunches at School in Urban and Rural Locations in Saskatchewan,1500,0,1 yr 0 mth ,1.0,7.313886831633462,2018
"Engler-Stringer, Rachel R; Muhajarine, Nazeem",University of Saskatchewan,Operating Grant,201003MOP,"Public, Community & Population Health 2",A Characterization of the Food Environment in Saskatoon for Families with Children,341449,0,3 yrs 0 mth ,0.0,12.740956534389236,2010
"Borkhoff, Cornelia M",Hospital for Sick Children (Toronto),"Operating Grant: ECI grants in Maternal, Reproductive, Child & Youth Health",201805MRC,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health",A Clinical Decision Rule to Identify Young Children at Risk for Iron Deficiency,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2018
"Riutort, Monica",Direct Payment,CIHR Café Scientifique Program,201205SCI,CIHR Café Scientifique Program,"A Coffee, Café, Kaffee, caffè, kawa: An Open Discussion of the Experiences of Immigrant and Visible Minority Women Survivors of Sexual Assault in Accessing Primary Health Care Services",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2012
"Ho, Kendall; Jarvis-Selinger, Sandra; Marsden, John J",University of British Columbia,Operating Grant,200809MOP,Knowledge Translation & Exchange,A Collaborative Quality Improvement Model and Electronic Community of Practice to Support Sepsis Management in Emergency Departments: Investigating Care Harmonization for Provincial Knowledge Translation.,283424,0,3 yrs 0 mth ,0.0,12.554702816885799,2008
"Rodger, Susan C",University of Western Ontario,Planning Grants - Priority Announcement: Health Services and Policy Research,201210PLH,Planning Grants,A Community Approach to Child and Youth Mental Health Wellness - Creating a Needs Assessment Framework,25000,0,1 yr 0 mth ,1.0,10.12667110305036,2012
"Sims-Gould, Joanie",University of British Columbia,New Investigator Award-PA: Community-based Primary Health Care,201312COB,Allied Health Professionals - New Investigators,"A Community Based Research Program Focused on ""Adding Life to Later Years""",300000,0,5 yrs 0 mth ,0.0,12.611541086966115,2013
"Bhopa, Shania S",McMaster University,Doctoral: Vanier Canada Graduate Scholarships,202111CGV,Vanier Canada Graduate Scholarships CIHR,A Community Based Research Project: Analyzing The Barriers And Facilitators To Healthy Active Living Amongst Newly Immigrated Families With Children,150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2021
"Speechley, Kathy N; Bax, Karen A",University of Western Ontario,Project Grant,201803PJT,Social & Developmental Aspects of Children's & Youth's Health,A Community-Based Family Treatment Program for Children with Epilepsy: A Randomized Controlled Trial,459000,0,3 yrs 0 mth ,0.0,13.036807667689546,2018
"Morrongiello, Barbara A",University of Guelph,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,A Community-Based Intervention to Prevent Fall Injuries to Young Children in the Home,444431,0,3 yrs 0 mth ,0.0,13.004552341355938,2011
"Lachowsky, Nathan J; Leonce, Ivan; Buckler, Elizabeth J; Wells, Gordon A",University of Victoria (British Columbia),Catalyst Grant: Healthy Youth - 2SLGBTQI+ Youth,202211HY1,Catalyst Grant : Healthy Youth,A Community-Based Mixed Methods Study on the Health Benefits and Barriers for Participation in 2SLGBTQI-Specific Recreational Sports for 2SLGBTQI+ Youth in Canada,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2022
"Pakhale, Smita; Boyd, Rob",Ottawa Hospital Research Institute,Project Grant,201611PJT,Project Grant Competition,A Community-Based Participatory Action Pragmatic Randomized Controlled Trial using Electronic-Cigarette for Tobacco Dependence in the Inner City Population with a holistic approach,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2016
"Pakhale, Smita; McKay, Elspeth",Ottawa Hospital Research Institute,Project Grant,201709PJT,Indigenous Health Research,A Community-Based Participatory Action Pragmatic Randomized Controlled Trial using Electronic-Cigarette for Tobacco Dependence in the Low Income Population with a holistic approach,1985175,0,3 yrs 0 mth ,0.0,14.501218133160325,2017
"Tsuji, Leonard J",University of Waterloo (Ontario),Operating Grant: Health Systems Research on H1N1,201001H1N,Operating Grant: Health Systems Research on H1N1,A Community-based Approach to Pandemic Planning: Swine Flu (H1N1) and Remote First Nation communities of sub-arctic Ontario.,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2010
"Kopec, Jacek A",University of British Columbia,Operating Grant,201503MOP,"Public, Community & Population Health 2",A Comparison of Strategies to Reduce the Burden of Osteoarthritis: A Population-based Microsimulation Study,216939,0,3 yrs 0 mth ,0.0,12.287376096594208,2015
"Allman, Dan B",University of Toronto,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,A Consultation and Planning Process to Explore the Capacity and Research Needs of Sex Work Organizations and their Allies addressing HIV Pre-Exposure Prophylaxis (PrEP) in Canada,14984,0,1 yr 0 mth ,1.0,9.614804979750764,2015
"Belanger, Emmanuelle",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200910GSD,Doctoral Research Awards - B,A Critical Discourse Analysis of Shared Decision-Making in Palliative Care,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2009
"Vanderloo, Leigh M",University of Western Ontario,Travel Awards - Institute Community Support,201501ISU,"Institute of Human Development, Child and Youth Health","A Cross-Sectional Examination of Toddlers' Physical Activity and Sedentary Time in London, Canada",1000,0,1 yr 0 mth ,1.0,6.90875477931522,2015
"Godwin, Marshall S",Memorial University of Newfoundland,Operating Grant - PA: Regional Partnership Program - Newfoundland and Labrador,201203RNL,Social Dimensions in Aging,A Cross-sectional and Case-control Analysis of Physically Independent and Physically Dependent Cohorts of Octogenarians: Part One of the Life after 80 Study,89653,0,3 yrs 0 mth ,0.0,11.403713095996656,2012
"Warburton, Darren E; Miles, Rosalin; Bredin, Shannon S; Hare, Jan",University of British Columbia,Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,A Culturally Respectful Approach to Identifying the Roles Sex and Gender Play in the Health and Wellness of Nlaka'pamux First Nations Communities,75000,0,1 yr 0 mth ,1.0,11.225256725762893,2019
"Nickel, Nathan C; Thomson, Marcia; Afifi, Tracie O; Brownell, Marni D; Katz, Alan; Shanahan, Marian D",University of Manitoba,Cat. Gr.: Pop. Health Interv. Res. on Legalis. of Cannabis - Dev. Data Infrastru,201708SH1,Catalyst Grant: Population Health Intervention Research on Legalization of Cannabis,A Data Infrastructure for Monitoring the Impact of Cannabis Legalization: Data Collection and Linkage Strategies to Inform Health and Social Policy,98623,0,1 yr 0 mth ,1.0,11.499069918679787,2017
"Idzerda, Leanne",Université Laval,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,A Decision Support System to Assess the Health Impacts of Urban Agriculture Interventions,1500,0,1 yr 0 mth ,1.0,7.313886831633462,2020
"Nickel, Nathan C; Star, Leona; Clark, Wayne; Lavoie, Josée G; Phillips-Beck, Wanda; Sanguins, Julianne",University of Manitoba,Op Grant: COVID-19 Rapid Research FO - Social Policy and Public Health Responses,202005VR5,COVID-19 Rapid Research - Social Policy and Public Health Responses,"A Distinction-Based Study on Equity in COVID-19 Testing for Manitoba First Nations, Metis and Inuit",317917,0,1 yr 0 mth ,1.0,12.669548766875065,2020
