Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
"The lasting effects of influenza: Defining the causes and consequences of early life exposures on age-specific mortality later in life, 1890-2015","['Gagnon, Alain', 'Miller, Matthew S']","['Dillon, Lisa Y', 'Madrenas, Joaquin']","['Demography', 'Immunity', 'Influenza', 'Lifecourse', 'Mortality', 'Pandemics', 'Record Linkage']",100000.0,351789,"The worldwide spread of a novel influenza A (H1N1) virus in 2009 reminds us that influenza remains a significant threat to public health. This project builds on earlier investigations by our group showing a relationship between early life exposure to the 1890 Russian flu pandemic and young adult mortality during the 1918 Spanish influenza pandemic. Adding immunological assays and extending the observations to other pandemics as well as to usual seasonal flu during the 20th century in Canada and elsewhere, we explore immunological and physiological mechanisms connecting early life exposure and mortality from influenza later in life. We posit that exposure to a virulent strain of influenza during critical periods of development may result in physiological impairments that also increase the risk of death later in life, including from influenza itself. Additionally, development of immunological memory to an influenza strain in early life may result in a deregulated immune response to novel influenza virus strains encountered in later life, thereby increasing the risk of death. Drawing on historical and contemporary demographic and epidemiologic data, and taking advantage of the most recent advances in developmental biology and immunology, this cross-disciplinary project explores novel views about the peculiar age structure of mortality from influenza from 1890 to 2015."
Genetic epidemiology methods for medicine and population health in the big data era: Expanding the IGES network and knowledge dissimination,"['Gagnon, France', 'Greenwood, Celia M']",['N/A'],"['Access To Data Science Training', 'Bioinformatics', 'Dissemination Of Analytic Skills', 'Electronic Records For Health Research', 'Genetic Epidemiology', 'Health Outcomes', 'Integration Of Omics Data', 'Pharmacogenomics', 'Skills To Advance Medicine And Population Health', 'Statistical Genetics']",7000.0,343609,"With the revolution in ascertaining genetic and genomic data in a high-throughput manner, a large percentage of today's research in the field of Human Genetics is directly based on analysis and interpretation of large data sets and high-dimensional data. Now in the era of 'big data' at all levels, not only genomics, new opportunities are emerging. Internationally, routinely collected data - from health administration, electronic medical records, laboratories (clinical and public health), imaging services, and disease registries - are being used to measure clinical care, clinical trial outcomes, health system performance, trends in and determinants of the public health. With these new developments comes a need bigger than ever to bring mathematical and computational knowledge and skills relevant to genetic research to a broader audience of knowledge users."
Implementation of a personalized diabetes treatment tool,"['Gagnon, Justin']",['N/A'],"['Cardiovascular Disease', 'Chronic Disease Management', 'Clinical Decision Support', 'Diabetes', 'Electronic Medical Records', 'Health Information Technology', 'Primary Care']",105000.0,365518,"Many chronic health problems like high blood pressure, high blood sugar and high cholesterol share risk factors. Currently, there are no tools that take into account each person's combinations of factors and provide personalized recommendations about which factors have the biggest impact on health and should be acted on first. The objectives of my research are to develop a computer program that uses statistics to predict the risk of diabetes complications for different combinations of factors, and make recommendations to doctors about actions that will have the most beneficial impact on preventing complications; and to ask doctors, nurses and patients about how this program changed their treatment behaviour. This project makes an important step in turning evidence about how best to manage chronic diseases into action. The program I will develop may be adapted to different diseases and to use additional health databases in its calculations."
Assessing the Ethics of the Dominant Business Model in the Canadian Pharmaceutical Sector; Tackling Institutional Corruption through Regulatory Reforms,"['Gagnon, Marc-André']","['Kohler, Jillian C']","['Business Model', 'Cost And Prices Of Medicines', 'Ghostmanagement Of Medical Literature', 'Innovation Policies', 'Investment And Profitability', 'Off-Label Use', 'Pharmaceutical Promotion', 'Pharmaceutical Sector', 'Research Ethics', 'Therapeutic Innovation']",84204.0,255847,"Is the dominant business model of core pharmaceutical companies built on ethical foundations? Is the earning capacity of drug companies in line with the improvement of public health? In the last 15 years, fewer new drugs have arrived on the market, and the vast majority of them do not represent any therapeutic advancement as compared to what already exist. Nevertheless, dominant pharmaceutical companies are gaining record profits in spite of the lack of therapeutic innovation. This paradox can be explained if we consider the hypothesis that the main on-going business model is the aggressive promotion of me-too drugs in a way that institutionally corrode evidence-based medicine.

If this hypothesis is correct, it means that the profit-motive is not encouraging the development of new drugs.  Promotional expenditures surged during that period and medical research is ever more organized as a promotional campaign creating bias in medical practices. A growing amount of evidence shows the emergence of unethical practices in medical research for marketing purposes. For example, drug companies are systematically multiplying ghostwritten studies showing benefits for products, disclosure of adverse data in clinical trials is still incomplete and a growing amount of researchers have reported intimidation when they published adverse research results. 

The question before us is thus to understand if the profit-motive is embedded in a market structure encouraging unethical practices instead of innovative therapeutics. And if it is the case, what could be done to reconcile pharmaceutical profits and public health, especially when current innovation policies put in place by the Canadian government aim at increasing revenues instead of therapeutic innovation? What could be done in terms of regulatory reforms to re-organize the market structure in order to have a profit-motive serving the interests of patients as well? How can we reconcile business imperatives and health ethic"
New Directions for Critical Social Science and Humanities Perspectives in HIV and AIDS in Canada,"['Gagnon, Marilou']","['Charette-Dionne, Patrick', 'Greenspan, Nicole R', 'Guta, Adrian', 'Manning, Eli J', 'Mcclelland, Alexander L']","['Critical Humanities Perspectives', 'Critical Social Science Perspectives', 'Hiv/Aids']",11629.0,246117,"The proposed meeting will provide a much needed opportunity to bring together junior, middle, and senior level HIV researchers, and knowledge users (people living with and/or affected by HV, services providers, clinicians, and community advocates) interested in advancing critical social science and humanities perspectives [henceforth - CSSHPs] in Canadian HIV studies and practice. The intended outcomes of this meeting are: (1) To bring together key HIV scholars using CSSHPs (as well as those who are interested in advancing these perspectives in their applied work) to share and discuss their work in relation to emerging intervention, policy, and research trends in the Canada; (2) To establish a program of research that will address the social, political, legal, ethical, and cultural implications of the Canadian HIV response and identify research questions that should be explored using CSSHPs; (3) To generate new research partnerships and develop an interdisciplinary program of research driven by CSSHPs."
"""Smoking is better than taking pills"": a longitudinal qualitative study of cannabis use and symptom management among people living with HIV","['Gagnon, Marilou', 'Guta, Adrian']","['Belle-Isle, Lynne', 'Nickerson, Jason W', 'Strike, Carol J', 'Walsh, Zach', 'Ware, Mark A']","['Aids', 'Antiretroviral Therapy', 'Cannabis', 'Disability', 'Hiv', 'Pain', 'Side Effects', 'Symptom Management']",263925.0,380136,"Despite major advancements in treatment and care, people living with HIV (PLWH) continue to experience symptoms related to medications, side effects, and HIV-related complications. Poorly managed symptoms can have a negative impact on the life and the health of PLWH. Symptom management can be challenging for PLWH for multiple reasons. Yet, research on this topic is fairly limited. It is estimated that as many as many as 14 to 37% of PLWH use cannabis to help manage symptoms such as appetite loss, wasting, nausea, vomiting, pain, anxiety, depression, stress, and insomnia. However, they tend to face important barriers to access medical cannabis and limited choices of product. As such, they continue to rely primarily on illegal sources to access cannabis. Canada is expected to legalize cannabis in 2018. This shift in policy could potentially improve symptom management for PLWH. Over the course of this study, we will interview PLWH who use cannabis for symptom management every year, for a total of 3 years. This will allow us to understand their needs, how legalization impacts them, and their use of cannabis in this changing context."
Exploring the Ethical Tensions and Professional Implications of Incentivized Health Care: The Case of HIV,"['Gagnon, Marilou', 'Guta, Adrian']","['Bungay, Victoria A', 'Murray, Stuart J', 'Upshur, Ross E']","['Aids', 'Case Study', 'Ethics', 'Hiv', 'Incentives', 'Qualitative']",100000.0,384304,"There is a growing interest in using incentives to encourage the uptake of health-related behaviours. This approach is based on the assumption that incentives can increase the perceived reward of health-related behaviours and, in turn, increase the likelihood that targeted individuals will engage in such behaviours. Incentives can be positive or negative. Positive incentives are direct rewards following the adoption of a desired behaviour or the achievement of a specific outcome. These are the most popular type of incentives in health care. In contrast, negative incentives are used by withdrawing a reward when an individual fails to adopt a desired behaviour or achieve a specific outcome. Incentives have been used in a variety of health care fields to encourage clinic attendance, follow-ups, treatment adherence, immunization, screening, smoking cessation, weight loss, healthy eating, exercise, drug abstinence, and breastfeeding. The use of incentives in health care is highly controversial. Yet, few studies have looked at the tensions and implications of this approach. The goal of this study is to examine these tensions and implications by analyzing documents and interviewing health professionals and service providers who have experience working with incentives in the field of HIV."
"Mobilizing Information, Preventing Infection","['Gahagan, Jacqueline C', 'Proctor-Simms, Michelle']","['Densmore, Carla', 'Liddell, Michael T', 'MacIsaac, Cynthia P', 'Dube, Anik', 'Dykeman, Margaret C', 'Harris, Gregory E', 'Jackson, Lois A', 'Macdonald, Jo-Ann M', 'Marshall, Zack']","['Community-Based Research', 'Health Inequities', 'Health Promotion', 'Hepatitis C', 'Hiv', 'Knowledge Translation And Exchange', 'Policies', 'Prevention', 'Programming', 'Youth']",10000.0,314787,"What will this grant do?
This CIHR dissemination grant will provide an opportunity for the Our Youth, Our Response (OYOR) research team to share key research findings with front line, policy and government partners working in the fields of youth-oriented HIV and Hepatitis C (Hep C) prevention. This will involve a face-to-face consultation meeting with HIV/HCV prevention experts from Nova Scotia as well as a series of interactive webinars with experts from the other Atlantic Provinces and elsewhere in Canada.

Who will be involved?
The prevention experts included in these activities will include formal healthcare providers, front line community workers, university-based health researchers, and representatives of community-based organizations who work in HIV/Hep C prevention, and/or with youth.

What will these activities involve?
Through these activities, the prevention experts will help the OYOR research team mobilize their key findings and recommendations to assist researchers, community organizations, and healthcare providers improve youth-oriented HIV/Hep C prevention policies and programs.

How will this event improve the health of Canadians?
These activities have the potential to: 1. Improve the health of young Canadians by making youth-oriented HIV/Hep C prevention more effective by increasing awareness among prevention experts of the approaches that work best with youth populations; and 2. Make youth-oriented HIV/Hep C prevention more effective by providing prevention experts working in areas with limited resources with evidence-based recommendations for meeting the unique prevention needs and challenges faced by youth and those who work with youth."
Framing Canada's Coordinated Agenda for Research With and For Women and HIV/AIDS within an International Dialogue,"['Gahagan, Jacqueline C']","['Binder, Louise', 'Stein, Nicci', 'Wertheimer, Sophie']","['Determinants Of Health', 'Gender And Health', 'Hiv/Aids', 'International Dialogue', 'Participatory Research', 'Research Agenda']",25000.0,246312,"Building upon the work currently underway aimed at developing a coordinated research agenda for women and HIV/AIDS in Canada, we are applying for a CIHR MPD Planning Grant to support the organization of two key, connected events. Held in conjunction with the XIX International AIDS Conference (AIDS 2012) in Washington, D.C., we plan to hold an affiliated session to further the international dialogue on research with and for women and HIV/AIDS. Tentatively scheduled for July 26, 2012, this free afternoon session will bring together 75 interested international stakeholders, including people living with HIV, researchers, service providers, policy makers and others. Through presentations and facilitated dialogue, participants will be invited to learn about different initiatives that are being undertaken to coordinate research with and for women and HIV/AIDS and to explore opportunities for collaboration. This session will be followed by a strategic planning meeting on November 8 and 9, 2012, in Ottawa, where members of the ""Gathering of Spirits: Women, Transpeople and Girls' HIV Research Collaborative"" will draw from this international dialogue to develop a Canadian Consensus Statement on research with and for women and HIV/AIDS. Varied stakeholders will then be invited to endorse and promote the Canadian Consensus Statement on Research, which will outline key priorities and actions to improve research with and for women and HIV/AIDS."
Youth & HIV/Hepatitis C Prevention in Nova Scotia.,"['Gahagan, Jacqueline C']","['Karabanow, Jeff']","['Hepatitis C', 'Hiv/Aids', 'Policy', 'Prevention', 'Youth']",3000.0,263563,"The Our Youth, Our Response research project explored HIV and Hepatitis C prevention policies. This project sought to identify where youth-specific concerns were (or were not) included in these policies as this population is often overlooked within the HIV and Hepatitis C discussions. Our Café Scientifique will continue the dicussion by involving both youth and researchers in an informal setting to further identify unmet needs of youth in Nova Scotia. We will focus on exploring approaches which best address these needs from a youth persepective. Our goal is to give voice to youth, communities, policy makers, and researchers as we collectively share ideas, knowledge, and messages about HIV and Hepatitis prevention relevant to the very people whom out research involves."
Moving Beyond Piloting: A Social Ecological Exploration of Barriers and Facilitators to Scaling up HIV Point-Of-Care Testing (HIV POCT) in Canada.,"['Gahagan, Jacqueline C', 'Pindera, Carla']","['Baxter, Larry N', 'Betteridge, Jonathan G', 'Demeria, Jessica', 'Johnston, Christine', 'Meyers, Adrienne F', 'Milligan, Robert S', 'Ortiz Nunez, Roberto', 'Panessa, Ciro', 'Proctor-Simms, Michelle', 'Yetman, Gerard F', 'Asghari, Shabnam', 'Hajizadeh, Mohammad', 'Hatchette, Todd F', 'Ibanez-Carrasco, Francisco', 'Jackson, Lois A', 'Kelly, Deborah V', 'Kielly, Jason', 'Lachowsky, Nathan J', 'Lewis, Nathaniel', 'Weerasinghe, Swarna D']","['Access', 'Community Health Promotion', 'Health Equity', 'Health Services', 'Hiv Point-Of-Care Testing', 'Hiv/Aids', 'Mapping', 'Pilot Programs']",33000.0,352638,"Although HIV Point-Of-Care Testing (HIV POCT) was approved for use in Canada over ten years ago, access to this HIV testing technology remains variable across the country. In addition, while many HIV POCT pilot programs have been offered over the past ten years, these have been relatively short programs with limited funding and other supports. In this CBR catalyst grant we will look at mapping where HIV POCT pilot programs have been offered in Canada from 2005 (the year when the HIV POCT test 'INSTI' first became available for use in Canada) until 2016, which communities and priority populations have been served, and where gaps in access exist and why. With our community partners, we will share and present these findings nationally. We will also use the findings to develop a larger CIHR operating grant to look more closely at the ways in which select HIV POCT pilots have been expanded and sustained over time using a case study approach."
Testing the effectiveness of a message framing KT intervention,"['Gainforth, Heather L']",['N/A'],"['Knowledge Translation', 'Message Framing', 'Public Health', 'Sexual Health', ""Women'S Health""]",105000.0,206120,"Communicating health information in terms of the benefits of engaging in a behaviour or the costs of failing to engage in a behaviour can persuade people to practice safe sexual health practices including using condoms, getting a pap test, and getting vaccinated. Yet, health messages are rarely correctly written by applied health organizations such as public health. This means that it is important to research how to effectively communicate the findings from sexual health communication research to public health agencies. The proposed research will consist of three studies aiming to evaluate and strengthen the use of proper sexual health messages within 36 public health agencies in Ontario. In Study 1, I will evaluate the content of existing sexual health websites and brochures from public health agencies to determine whether their messages are correctly conveying information. In Study 2, I will develop a program that will teach the same Ontario public health agencies used in Study 1 to correctly create sexual health messages. The effectiveness of the program will be measured by re-evaluating the agencies' sexual health brochures and websites. In Study 3, I will develop an understanding of the causes of whether or not public health agencies correctly create sexual health messages. I will assess what resources and materials help and hinder agencies' ability to correctly use sexual health communication research. The results of the three studies will help improve the health of Canadians by ensuring that public health agencies are using the most effective research evidence and by providing insight as to how to effectively provide public health agencies with scientific recommendations."
