Project title,Principal investigator(s),Co-investigator(s),Keywords,CIHR contribution,ApplID,Abstract/Summary
Shape the Path: Targeting the Health and Mobility of Older Men through Key Community Partnerships,"['Mckay, Heather A', 'Herman, Matthew S', 'Sims-Gould, Joanie']","['Hoppmann, Christiane A', 'Lang, Ariella', 'Mackey, Dawn C', 'Miran-Khan, Karim', 'Phinney, Alison', 'Robinovitch, Stephen N', 'Winters, Meghan']","['Active Travel', 'Built And Social Environment', 'Home Care', 'Implementation', 'Knowledge Translation And Exchange', 'Masculinity', 'Mobility', 'Older Men', 'Physical Activity', 'Residential Care']",726709.0,317955,"Our project title 'Shape the Path' refers to efforts to pave the way for older men to maintain mobility in a range of ways (personal, social, health settings, physical environment).  Shape the Path aims to lessen the substantial burden of mobility-disability in older men. To do so we will examine factors (e.g. ethnicity, gender, environment, socioeconomic status) that influence older men's ability to 'go where they want to go, when they want to go there, and how they want to get there'. If one considers mobility as a 'capacity' then it facilitates older men's independence and their quality of life. We will assess capacity in a number of ways based on what men can actually do ( 'enacted capacity') and what they think they can do ('perceived capacity') across 3 distinct settings: community, home care and residential care. These settings represent different levels of mobility. 

We will use a variety of research methods to develop an in-depth understanding of men's experiences and other factors related to participation in physical activity as this is closely linked with their mobility. We will combine those new understandings with existing knowledge to intervene with a novel program that promotes (i) physical activity in community-dwelling older men. Next, we will determine the mobility characteristics of older men who receive home care support and intervene with a model that aims to enhance men's capacity (called re(ablement)) in home care. Finally, we will identify the mobility limitations of frail older men in residential care using novel sensor and video technology. This will be the basis for new strategies for promoting safe mobility for men in residential care. 

Importantly, we work closely with committed community stakeholders who guide the questions we ask. Together we deliver our findings back out to those who might benefit the most from what we learned, through dissemination of relevant programs, practices and policies."
"Bridging the ""Know-Do"" Gap: Pathways to implementation at scale of effective physical activity interventions","['Mckay, Heather A', 'Sims-Gould, Joanie']","['Bauman, Adrian E', 'Naylor, Patti-Jean', 'Nettlefold, Lindsay A']","['Implementation', 'Older Adults', 'Physical Activity', 'Scale Up']",19996.0,372725,"To contribute to the health of populations, programs that demonstrate effectiveness on a smaller scale must be implemented at a much larger scale. However, given the challenges of scale-up, many interventions that improved the health of individuals are never rolled out on a broader scale.

Physical activity programs are among prevention strategies with many proven health benefits for older adults. Despite this, most older adults in Canada are not active enough to sustain their health. Therefore - we recognize a need to find effective ways to adapt and move physical activity programs that worked in smaller studies into more communities to benefit those who need them most. However, although we know what programs were effective, we still don't know how best to effectively deliver them across regions, provinces or the whole country.

Ultimately, our global goal is to enhance the mobility, health and independence of older adults in Canada. Therefore, for our meeting/planning grant our aim is to overcome the challenges of implementing effective health programs at large scale. To do so we will bring together thought leaders and scientists from around the world whose expertise is implementation at scale. Our proposal has three parts. First, we will review the world literature to see what has or has not worked when scaling up physical activity programs (focus on older adults) and the tools used to evaluate scale-up. Second, our international think tank' experts will present real world scale-up case studies that speak to the process of scale up and measurement of it to further inform what we learn from our review. Third, we will summarize our findings from the review and the 'think tank' in a document that identifies areas for further study and make recommendations for health prevention researchers whose aim is to implement and evaluate effective programs at scale."
"How can health benefits of an effective, scaled-up, health promotion model for older adults be sustained?","['Mckay, Heather A', 'Day, Meghan E', 'Mackey, Dawn C', 'Sims-Gould, Joanie']","['Bauman, Adrian E', 'Reeves, Penny']","['Community-Based Health Research', 'Economic Evaluation', 'Health Promotion', 'Implementation Research', 'Integrated Knowledge Translation', 'Mobility', 'Older Adults', 'Physical Activity', 'Social Isolation/Connectedness', 'Sustainability']",883576.0,409368,"One-third of Canadians will be an older adult (>65y) by 2050. Thus, healthy aging is a public health priority. Many older adult health promoting interventions have been implemented, yet few were scaled-up and none were sustained. CTM is an effective, adaptable health promotion program for older adults. CTM improved healthy aging indicators-mobility, social connectedness, and decreased loneliness of older adults. We are now scaling-up Choose to Move (CTM) across British Columbia (BC) with support from BC Ministry of Health. Community partners and older adults identified three elements essential to CTM success: program flexibility, social interactions, and trusted relationships between participants and activity coaches (who deliver CTM).

In this CTM sustainability (CTM-S) study we aim to determine if health benefits of CTM can be maintained. Therefore, we integrated the three essential elements into design of CTM-S and will assess three follow-up approaches: 1. activity coaches hold annual group meetings and call participants quarterly; 2. government service staff (HealthLinkBC) call participants quarterly; 3. we create a Facebook group for CTM-S participants and prompt participants daily. In a fourth group we will not actively follow-up. We will allocate 166 CTM programs (1743 participants) to follow-up arms. In our evaluation we will: 1) assess if during follow-up older adults' mobility, social connectedness/loneliness, physical activity and sedentary time across 12 and 24 months are maintained; 2) measure costs associated with each follow-up arm, program affordability and value to policy makers; 3) identify factors that support or inhibit implementation of CTM-S. Our team has expertise in older adult health promotion and implementation science research, trainee mentorship, economic evaluation and knowledge translation. We endeavour to generate strategies that can be used to implement and sustain effective health promotion strategies for older adults across Canada."
Implementation and scale-up science: Tackling challenges in prevention and health promotion research,"['Mckay, Heather A', 'Sims-Gould, Joanie']","['Bauman, Adrian E', 'Lau, Yuen Yan', 'Naylor, Patti-Jean', 'Nettlefold, Lindsay A']","['Dissemination', 'Exercise', 'Implementation Science', 'Mobility', 'Older Adults', 'Physical Activity', 'Scale-Up']",20000.0,411996,"Health promotion through physical activity can effectively enhance older adults' social connections and physical and mental health. Despite this, only 11% of Canadian older adults are active enough to enjoy health benefits. To positively affect the health of populations, physical activity programs that demonstrate effectiveness on a small scale must be scaled-up and sustained. In our recent (unpublished) systematic review of older adult physical activity interventions, of 1364 studies less than 1% were scaled up and only 8% assessed implementation. Of these, only four studies assessed implementation at scale-up. Scale-up is often relegated to the 'too hard' basket, which may reflect the many partnerships that must be in place for scale-up to succeed, and the substantial cost. Therefore, we aim to identify strategies that can be used to adapt, implement and evaluate scale-up of effective health promotion interventions.

Our global goal is to enhance the mobility, health, and independence of older adults through enhanced physical activity. Thus, we propose to invite national and international experts in scale-up science and healthy aging, as well as key knowledge users, to Vancouver, BC. Our objectives for the meeting are threefold. First, we will develop an action plan to acknowledge and fill gaps in implementation and scale-up science research in healthy aging. Second, we will focus our action plan toward developing a CIHR Implementation Science Team Grant in Healthy Aging. Third, we will lay the groundwork for an opinion piece for the new Implementation Science Communications journal to highlight; i) the state of implementation and scale-up science in healthy aging (guided by our systematic review); ii) issues in implementation and scale-up science (e.g. inconsistent language, lack of standardized tools and measures); and iii) suggested ways forward. What we learn in BC can be applied to scale-up of physical activity interventions across Canada and the world."
The Forgotten North: Adapting an effective health-promoting program for northern British Columbia,"['Mckay, Heather A', 'Pelletier, Chelsea']","['Fox, Gloria', 'Bauman, Adrian E', 'Ottoni, Callista', 'Sims-Gould, Joanie']","['Aging', 'Implementation Science', 'Mobility', 'Older Adults', 'Physical Activity', 'Program Adaptation', 'Provincial North', 'Sex And Gender Science', 'Social Connectedness']",20000.0,460660,"Physically active older adults are healthier, more socially connected and interact more fully with their communities. However, 85% of older adults in Canada are not active enough to enjoy health benefits. Therefore, with our community partners we co-designed Choose to Move (CTM)-a flexible, community-based program that improved physical activity, mobility, social connectedness and diminished loneliness in older adult participants. CTM was scaled-up across 8 years to reach >6000 older adults in British Columbia (BC). However, our reach was primarily in Metro Vancouver. As northern cities face different challenges implementing health-promoting initiatives (e.g., dispersed geography, climate, isolation from metropolitan centres, transportation), 'what works' in southern urban centres may not translate to northern communities. To address this inequity, we aim to build capacity in the community-based seniors' services sector to enable them to adapt and deliver health-promoting programs (CTM) in northern BC.

Our objectives for this planning grant are to:
1. develop a specific plan of action to identify/fill gaps in capacity that would enable the community-based seniors' services sector to effectively implement health-promoting interventions for older adults living in northern communities;
2. develop a CIHR Project Grant in Healthy Aging that evaluates implementation and health benefits of CTM, adapted for older adults in northern BC.

To achieve these objectives, we propose to bring together researchers who work in healthy aging (in northern communities), physical activity and implementation science, sex and gender science, and key knowledge users representing community-based seniors' services organizations who engage with a diverse range of older adults living in northern communities, to Prince George, BC for a planning meeting. What we learn can be applied to adapting health-promoting interventions for northern BC, and other more remote geographies across Canada."
Implementation Science Team in Healthy Aging,"['Mckay, Heather A', 'Tosdevine-Tataryn, Sahra-Lea', 'Havaei, Farinaz', 'Mackey, Dawn C', 'Sims-Gould, Joanie']","['Lusina, Sarah Jane C', 'Bauman, Adrian E', 'Naylor, Patti-Jean', 'Pelletier, Chelsea', 'Sagha Zadeh, Rana', 'Sherrington, Catherine', 'Stolee, Paul', 'Tiedemann, Anne', 'Tong, Catherine E', 'Wolfenden, Luke']","['Healthy Aging', 'Implementation Science', 'Knowledge Translation', 'Loneliness', 'Older Adults', 'Physical Activity', 'Program Adaptation', 'Scale-Up', 'Social Isolation']",24850.0,459801,"As one-third of Canadians will be older adults (>65y) by 2050, it is no surprise that healthy aging is a public health priority. Older adults who are physically active are more socially connected and interact more fully with their communities. However, 85% of older adults in Canada are not active enough to enjoy health benefits. Therefore, with our community partners we co-designed Choose to Move (CTM)-a flexible, community-based program that improved physical activity, mobility, social connectedness and diminished loneliness in older adult participants. 

From small beginnings, CTM was scaled-up across 7 years to reach >6000 older adults in one province. However, CTM engaged primarily white older adults, most of whom were women. Our Implementation Science Team in Healthy Aging aims to address this inequity. We propose to adapt CTM for three more diverse groups of older adults who live in large- (Vancouver, Surrey) or medium-sized (Prince George, Waterloo) cities. Specifically, we will focus on older adults marginalized by one or more of: ethnicity, geography, sex/gender. We will work with community-based seniors' services (e.g., not-for-profits; cultural centers; neighbourhood houses) to adapt CTM for 'best fit' and to help organizations build the capacity (support and training) they need to deliver the CTM program. 

Our research objectives are to: 
1) describe how CTM is adapted to meet the needs of older adults of different ethnicities, older adults in northern BC and older men; (an engagement/adaptation outcome); 
2) evaluate factors that affect implementation (e.g., feasibility) (an implementation science outcome); and 
3) measure health indicators among older adults who participate in CTM (a health outcome). 

Our impact will be an implementation science research network, engaged community organizations, an evidence-based and more equitable intervention (CTM), a new generation of implementation scientists, and healthy, engaged and connected older adults."
The Social Determinants of Involuntarily Displaced Peoples Health,"['Mckee, Pepita E']",['N/A'],"['Communicable', 'Indigenous Well-Being', 'Involuntarily Displaced Persons', 'Mixed Methods Research', 'Non-Communicable Diseases', 'Philippines', 'Social Assessment Survey', 'Social Determinants', 'World Bank Guidlelines', 'World Health Organization']",17500.0,184220,Not Applicable
Kw'amkw'um S'uli Tst; Strengthening our Spirit. Culture as Intervention among the Cowichan Tribes,"['McKendry, Virginia']","['Mendoza, Fairlie S']","['Aboriginal', 'Community Based Research', 'Community Capacity Building', 'Culture As Intervention', 'Elders', 'Intergenerational Trauma', 'Intervention Program Development', 'Knowledge Translation', 'Social Determinants', 'Traditional Cultural Knowledge']",26300.0,279115,"Kw'makw'um S'uli works with Elders to learn the content and applicability of Traditional Cultural Knowledge (TCK). 

Our objectives are two pronged. Our team will develop Elders' capacity through education on the social and clinical aspects of HIV/AIDS, including the need for early testing and adherence to treatment; Secondly, once Elders are familiar with the issues, they will share advice about feelings of loss, fear, stigma and addiction. 

The last decade has seen a dramatic increase in research finding the benefit and need for the inclusion of TCK into Aboriginal intervention programs. But, What is TCK, and does it have the capacity to discuss contemporary issues of sex, intravenous drugs and HIV/AIDS? 

Our research has found that Elders' advice is rich with suggested applications of TCK for intervention programming. It is also rich with specific coping mechanisms for stigma, fear and despair; optimistic perspectives on an individual's responsibility to the self and community, prayers and personal stories of overcoming addiction and trauma. Very often, the advice comes in the Hul'q'umi'num', Coast Salish language. These quotes will be translated to English, and included in a booklet with accompanying CD. These will be a useful tools for future intervention program development, such as would bring youth together with Elders. The audio and textual materials can be used to expand the capacity of a further pool of Elders. As critical as these materials will be to future intervention programmers, much will also be learned from the process of KT from Western clinical paradigms into traditional ones.  Subsequent translation of traditional advice into relevant information for the research community will be published in journals for this purpose."
Reproductive Justice as Defined by Urban Aboriginal Women: A Feminist Participatory Action Research Project,"['McKenzie, Holly A']",['N/A'],"['Aboriginal Women', 'Participatory Action Research', 'Reproductive Justice', 'Reproductive Rights']",108000.0,272851,"The colonization and control of Aboriginal women's bodies, enacted through forced sterilization, misuse of long-term reproductive technologies, and child welfare system interventions has not come to an end. Rather, it continues in new forms. In the face of the surveillance, Aboriginal women, particularly Aboriginal women living in poverty, are subjected to there is a call from Indigenous women for reproductive justice. Reproductive justice focuses on the rights of women to choose not only whether or not to have children, but also how to raise them in safe and healthy environments, an understanding consistent with First Nations and Métis peoples holistic views of health. This research uses a collaborative, participatory approach to examine Aboriginal women living in poverty's access (or lack of access) to reproductive justice as well as how this access can be improved. This project seeks to determine: 1) What constrains and fosters Aboriginal women living in poverty's reproductive justice? 2) What changes to social and health services would increase Aboriginal women's access to reproductive justice? 3) What structural and cultural shifts would increase Aboriginal women's access to reproductive justice? In order to examine these questions, this project will collaborate with Aboriginal women living in poverty and service providers who work closely with them as co-researchers. This project will engage ethnographic approaches including qualitative interviews, photography, and field notes. This data will be supplemented by an analysis of the federal and provincial policies relating to reproductive justice. Together, the research team (the Principal Applicant and co-researchers) will determine how to disseminate the study's results and recommendations."
"Re-Tracing the African, Caribbean, and European (ACE)Pathways to Care in First-Episode Psychosis","['Mckenzie, Kwame J']","['Lurie, Steve', ""O'Connor, Karen"", 'Tang, Taryn', 'Anderson, Kelly K', 'Archie, Suzanne', 'Ferrari, Manuela', 'Flora, Nina', 'Golding, Llewellyn A', 'Hamilton, Hayley A', 'Kidd, Sean A', 'Kirmayer, Laurence J', 'Rice, Carla M', 'Tuck, Andrew J']","['Ethno-Racial Groups', 'Health Equity', 'Health Services', 'Mental Health', 'Pathways To Care', 'Psychosis']",24720.0,284055,"The sooner an individual gets treatment for psychotic illnesses, such as schizophrenia, the better the treatment outcome is. In an effort to assist this goal, early intervention services have been set up across Ontario. However, studies of these services suggest that there is a greater delay between developing symptoms of psychosis and getting treatment for people of African and Caribbean origin than European Canadians. These delays may lead to more severe illness with worse outcomes and more involvement of emergency services and the criminal justice system.

The ACE Pathways to Care project documented and compared the pathways taken to early intervention services for African, Caribbean and European origin Canadians living in Toronto and Hamilton. Furthermore, it looked at the different routes these ethnic groups took to getting care and why they took particular routes over others. The study results are now ready to be shared with healthcare providers, community agencies and policy makers in order to promote early treatment and better outcomes. 

By bringing together different stakeholders, this project will provide an opportunity for communities, clinicians and policy makers to learn about the key findings of the ACE Pathways to Care study and to engage in the subject in a public setting. To ensure the maximum impact of the study findings, knowledge will shared using two activities: A. Digital-Storytelling Workshops, where 3 minute digital movies will be created by study participants (e.g., clients and their family) as well as staff working in early intervention services. These digital stories will be used as a discussion tool during the forum, and; B. Knowledge Users Exchange Forum, a two-day meeting with the different stakeholders, which will form the basis of targeted interventions to increase health equity in Toronto and Ontario."
