Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Active Aging Canada, .",Direct Payment,Planning and Dissemination Grant - Institute Community Support,201601PCS,Planning and Dissemination - IHSPR,Establishing a Healthy Active Aging Knowledge Exchange Pathway,"                  $9,998","                      $0","1 yr 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201601ISU,Institute of Population and Public Health - Travel Awards,The efficacy of calorie labelling formats on pre-packaged foods: an experimental study among youth and young adults in Canada,"                  $1,500","                      $0","1 yr 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201901ISU,CPHA Conference,Front-of-package nutrition labels: experimental evidence to guide national and global policy development,"                  $1,500","                      $0","1 yr 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Health System Impact Fellowships - PostDoc Central Canada 2 year,202102HI5,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Monitoring and evaluation of Canada's Healthy Eating Strategy,"                $108,500","                      $0","2 yrs 0 mth "
"Actua, .",Direct Payment,Synapse - CIHR Youth Connection Program,201103SYN,CIHR Synapse Program,"Promoting Health Research Career Opportunities for 4,500 Northern Youth","                 $90,000","                      $0","3 yrs 0 mth "
"Actua, .",Direct Payment,Synapse - CIHR Youth Connection Program,201103SYN,CIHR Synapse Program,"Promoting Health Research Career Opportunities to 100,000 Canadian Youth","                $300,000","                      $0","3 yrs 0 mth "
"Adam, Barry D; Bauer, Greta R; Brooks, James I",University of Windsor (Ontario),Catalyst Grant: Infection & Immunity - HIV/AIDS Res - Biomedical/Clinical Stream,200909CI2,Catalyst Grant: Infection and Immunity,Linking Molecular and Social Cluster Analyses in HIV Transmission: Phase 1 project,"                 $96,300","                      $0","1 yr 0 mth "
"Adam, Barry D; Marshall, Zack; Scheim, Ayden; Ware, Syrus M; Travers, Robb",University of Windsor (Ontario),Operating Grant - HIV/AIDS CBR Program - General,201110CBR,HIV/AIDS Community-Based Research - General Stream (Merged),The Trans MSM Sexual Health Study,"                 $99,552","                      $0","2 yrs 0 mth "
"Adam, Kathleen E",University of British Columbia,"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201003SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",The role of self-management in people's early rheumatoid arthritis help-seeking experience,"                  $4,950","                      $0","0 yr 3 mths "
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,CIHR New Investigator,201109MSH,Health Research Salary A,Activity Begins in Childhood (ABC)- a randomized controlled trial to inspire healthy active behaviour in preschoolers,"                $300,000","                      $0","5 yrs 0 mth "
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",201109NMD,Movement & Exercise,Activity Begins in Childhood (ABC)- a radomized controlled trial to inspire healthy active behaviour in preschoolers,"                $100,000","                      $0","1 yr 0 mth "
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,Operating Grant,201203MOP,Movement & Exercise,Activity Begins in Childhood (ABC)- a randomized controlled trial to inspire healthy active behaviour in preschoolers,"                $307,482","                      $0","2 yrs 0 mth "
"Adamo, Kristi B; Senikas, Vyta; Dodd, Jodie M",Children's Hospital of Eastern Ontario Research Institute Inc,"Planning Grants - Priority Announcement: Nutrition, Metabolism & Diabetes",201110KTM,Planning Grants,Obesity Prevention from Conception: a workshop to guide the development of a pan Canadian trial targeting the gestational period,"                 $21,614","                      $0","1 yr 0 mth "
"Adams, Alayne",McGill University,Planning and Dissemination Grant - Institute Community Support,201909PCS,Global Health,"Addressing inequities in urban food systems: developing a collaborative implementation research agenda in Dhaka, Bangladesh and Phnom Penh, Cambodia","                 $20,000","                      $0","1 yr 0 mth "
"Adams, Evan L; Kendall, Perry; Browne, Annette J; Reading, Jeffrey L; Ward, Amanda J","Simon Fraser University (Burnaby, B.C.)",Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,First Nations Health and Wellness Indicator Development in British Columbia: The Role of Indigenous Knowledge,"                $150,000","                      $0","0 yr 1 mth "
"Adams, Evan L; Henry, Bonnie J","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - IIPH,"Sharing Our Language of Land, Water, and Territory as an Indigenous Determinant of Health: Developing a Culturally Grounded Videographic Knowledge Translation Tool from the ""First Nations Health and Wellness Indicator Development in British Columbia"" Study","                 $25,000","                      $0","1 yr 0 mth "
"Adams, Matthew; Galloway, Tracey L; Wilson, Kathleen J",University of Toronto,Op. Gr.:Emerging COVID-19 Res. Gaps & Priorities (July 2021) - Urban Populations,202109EG3,Operating Grant: Emerging COVID-19 Research Gaps & Priorities (July 2021),Understanding the COVID-19 Journeys and Vaccine Experiences of Racialized and Immigrant Communities in the Greater Toronto Area,"                $199,000","                      $0","1 yr 0 mth "
"Adekoya, Adebusola A",University of Waterloo (Ontario),Summer Program in Aging,202312SMP,Summer Program in Aging,Community alert systems for locating missing older adults,"                  $1,500","                      $0","1 yr 0 mth "
"Adekpedjou, Rheda",Université Laval,Travel Awards - Institute Community Support,201601ISU,Summer Program in Aging,Étude du processus de prise de décision des aînés vulnérables et de proches-aidants en matière de localisation des soins dans la province de Québec,"                    $800","                      $0","1 yr 0 mth "
"Adeyinka, Daniel A",University of Saskatchewan,IPPH Travel Awards - CPHA Annual Conference,202001IPT,IPPH Travel Awards - CPHA Annual Conference,Evidence of health inequity in child survival: spatial and Bayesian network analyses of stillbirth rates in 194 countries,"                  $1,265","                      $0","1 yr 0 mth "
"Adhikari Dahal, Kamala",University of Calgary,Doctoral: Vanier Canada Graduate Scholarships,201611CGV,Vanier Canada Graduate Scholarships CIHR,"Examining Neighbourhood Socioeconomic Status, Anxiety during Pregnancy, and Preterm Birth","                $150,000","                      $0","3 yrs 0 mth "
"Aenishaenslin, Cecile",Université de Montréal,JPIAMR Network Plus,202005JNP,Special Cases,"Convergence in evaluation frameworks for integrated surveillance of AMR, CoEval-AMR PHASE 2","                $225,418","                      $0","2 yrs 0 mth "
"Aenishaenslin, Cecile",McGill University,CIHR Fellowship,201511MFE,Health Research Training B - HP,Évaluation des systèmes de surveillance intégrée de la résistance aux antimicrobiens à l'interface homme-animal,"                $165,000","                      $0","3 yrs 0 mth "
"Affleck, William P",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,The Moral Experience of Bereaved Fathers,"                $105,000","                      $0","3 yrs 0 mth "
"Affleck, William P",University of British Columbia,CIHR Fellowship,201711MFE,Health Research Training A - Post-PhD (HTA),Threading gender to a suicide prevention program targeting Canadian Inuit male youth,"                 $90,000","                      $0","2 yrs 0 mth "
"Affleck, William P",Université de Montréal,CIHR Fellowship,202210MFE,Health Research Training A - Post-PhD (HTA),Why are Inuit from larger villages less likely to seek help? Comparing experiences and perceptions of suicide prevention services in larger and smaller communities in Nunavik,"                 $45,000","                      $0","1 yr 0 mth "
"Afifi, Tracie O",University of Manitoba,Foundation Grant,201409FDN,Foundation Grant,"Preventing Child Maltreatment: Changing a Child's Trajectory, Improving Health, and Strengthening Families.","                $883,855","                      $0","5 yrs 0 mth "
"Afifi, Tracie O",University of Manitoba,Operating Grant - PA: Regional Partnership Program : Manitoba,201203RPA,Social & Developmental Aspects of Children's & Youth's Health,The epidemiology of resilience following child maltreatment: An examination of protective factors across the lifespan.,"                 $46,354","                      $0","2 yrs 0 mth "
"Afifi, Tracie O",University of Manitoba,CIHR New Investigator,201209MSH,Health Research Salary A,The Epidemiology of Resilience Following Child Maltreatment Exposure: An Examination of Protective Factors Across the Lifespan,"                $300,000","                      $0","5 yrs 0 mth "
"Afifi, Tracie O",University of Manitoba,Catalyst Grant: Health Effects of Vaping,202006HEV,Catalyst Grant : Health Effects of Vaping,"Vaping and health outcomes, and use of the health care system among parents and adolescents in Manitoba","                 $99,421","                      $0","1 yr 0 mth "
"Afifi, Tracie O; Tonmyr, Lil E",University of Manitoba,"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",Understanding and responding to self-perceived stressors among parents and youth due to the COVID-19 pandemic: Informing an evidence-based public health approach,"                $141,720","                      $0","1 yr 0 mth "
"Afifi, Tracie O",University of Manitoba,Project Grant - PA: Data Analysis Using Existing Databases and Cohorts,202109PJV,"Public, Community & Population Health 2","The Impact of Adverse Childhood Experiences (ACEs) and Peer Victimization on Substance Use, Mental Disorders, and Physical Health Conditions among Adolescents and Young Adults in Manitoba: Identifying Protective Factors to Improve Health and Inform Effective Interventions.","                 $75,000","                      $0","1 yr 0 mth "
"Afifi, Tracie O; Van Til, Linda D",University of Manitoba,Catalyst Grant: Cannabis and Mental Health - Veterans,202011CB3,Catalyst Grant: Cannabis and Mental Health,Cannabis and Mental Health among Veterans in Canada: Understanding the Role of Trauma and Impact on Help-Seeking.,"                      $0","                      $0","1 yr 0 mth "
"Afifi, Tracie O",University of Manitoba,Project Grant - Priority Announcement: Population and Public Health,202309PAA,"Public, Community & Population Health 2","Child Abuse, Sex, Gender Identity, Sexual Identity, Mental Health and Substance Use in Canada: A Nationally Representative Canadian Study","                $100,000","                      $0","1 yr 0 mth "
"Ag Ahmed, Mohamed Ali",Université Laval,Travel Awards - Institute Community Support,201808ISU,Institute of Health Services and Policy Research,"Déterminants socioculturels du recours à l'accouchement assisté par les nomades de Gossi, au Mali : Etude qualitative.","                  $1,500","                      $0","1 yr 0 mth "
"Agarwal, Gina (Ragini)",McMaster University,Team Grant: GACD Primary and Secondary Prevention of Cancer - General,202002PV1,Special Cases,Evaluating the enhanced Community-based Health Education and Communication (eCHEC) model in improving the knowledge and behaviours of community residents on known risk factors and protective factors for preventing Cholangiocarcinoma (CCA) in Khon Kaen Thailand,"              $1,131,740","                      $0","5 yrs 0 mth "
"Agarwal, Gina (Ragini); Poll, Amy; Dunn, James R; Wyndham-West, Catherine M",McMaster University,Team Grant: HCIS - LOI - Healthy aging,202110LT2,Team Grant : Healthy Cities Implementation Science (HCIS) Team Grants - LOI,Implementation of Municipal Housing Interventions to improve Healthy Aging and Quality of Life in Canadian Cities,"                 $25,000","                      $0","1 yr 0 mth "
"Agbeyaka, Senyo",University of Toronto,Travel Awards - Institute Community Support,201505ISU,Institute of Population and Public Health - Travel Awards,Cultivating Healthier Communities: Challenges to Generating Change,"                  $2,104","                      $0","1 yr 0 mth "
"Agboji, Aderonke",University of Northern British Columbia,Summer Program in Aging,202102SMP,Summer Program in Aging,An investigation into the prevalence and risk factors for apathy among newly admitted Canadian long term care residents with and without neurocognitive disorders: A secondary data analysis,"                      $0","                      $0","1 yr 0 mth "
"Ahluwalia, Amrita; Aguinaldo, Jeffrey P",Ontario HIV Treatment Network,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201104CDE,HIV/AIDS Community-Based Research - General Stream (Merged),Transitional Housing:  A pilot study of its impact on housing sustainability and health outcomes of people living with HIV/AIDS in Ontario,"                 $33,000","                      $0","1 yr 0 mth "
"Ahmad Khan, Faiz; MacDonald, Natasha I; Sandy, Glenda",Research Institute of the McGill University Health Centre,Project Grant,202403PJT,Indigenous Health Research,Utirtisiniq Puvallutulirinirmut arqutigitsugu Inuit Qaujimajatuqangit: Nuisivalialuni Nunavimmiut arqirutisaginnik puvalluniup ammalu namasiangitunut anniasiuriujut Nunavimmi  Decolonizing TB Healthcare Through Inuit Qaujimajatuqangit: developing Nunavimmiut-led solutions to the continuing crises of TB and inadequate healthcare in Nunavik,"              $2,256,752","                      $0","4 yrs 0 mth "
"Ahmad Khan, Faiz; Andersson, Neil; Fletcher, Christopher; Sandy, Glenda",Research Institute of the McGill University Health Centre,Project Grant,201909PJT,Indigenous Health Research,Community Health Workers in Tuberculosis Prevention & Care Services in Nunavik,"                $707,626","                      $0","3 yrs 0 mth "
"Ahmad Khan, Faiz",Research Institute of the McGill University Health Centre,Operating Grant - Indigenous COVID-19 Rapid Research FO - Research,202112FO1,Indigenous COVID-19 Rapid Research Funding Opportunity,Community-partnered infectious disease modeling to inform Covid-19 policies and advocacy in Nunavik,"                $249,658","                      $0","1 yr 0 mth "
"Ahmed, Sofia B",University of Calgary,CIHR Café Scientifique Program,201305SCI,CIHR Café Scientifique Program,Nutrition and Kidney Health,"                  $1,447","                      $0","1 yr 0 mth "
"Ahun, Marilyn","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Travel Awards - Institute Community Support,201909ISU,"Institute of Human Development, Child and Youth Health",Maternal depressive symptoms and children's academic performance: Sex differences in the mediating role of school experiences,"                  $1,000","                      $0","1 yr 0 mth "
"Ahun, Marilyn",Direct Payment,CIHR Fellowship,202110MFE,Health Research Training A - Post-PhD (HTA),Giving children the best start in life: Understanding the role of maternal and paternal parenting behaviours and mental health in early child development,"                $150,000","                      $0","3 yrs 0 mth "
"Ahun, Marilyn",Research Institute of the McGill University Health Centre,Planning and Dissemination Grant - Institute Community Support,202402PCS,Planning and Dissemination Grants,Giving children the best start in life: Promoting child and parental mental health and wellbeing in Ghana,"                 $19,993","                      $0","1 yr 0 mth "
"AIDS Committee Cambridge, Kitchener & Waterloo; Cameron, Ruth; Davis, Contessa; Coleman, Todd A; Khan, Maryam; Wilson, Ciann L",Direct Payment,Catayst Grant: Community-Led Res. on LGBTQIA/2S Wellness - Medium-scale projects,202110LGM,Community-Led Research on LGBTQIA/2S Wellness,"Exploring the Health, Wellness, Safety, Service Access, and Minority Stressors across the Lifecourse of 2SLGBTQ+ in the Waterloo Region, Ontario, Canada: A Mixed-Methods Ecosocial Study","                 $90,061","                      $0","1 yr 0 mth "
"Aikau, Hokulani K; Castleden, Heather E; Naputi, Tiara R; Newman, Carey; Quesnelle, Melissa N; te Heuheu, Lisa",University of Victoria (British Columbia),Project Grant,202309PJT,Indigenous Health Research,"Archipelagos of Indigenous-led Resurgence for Planetary Health-Proof-of-concept: Actualizing Indigenous determinants of planetary health by supporting the reciprocal relationships among Indigenous Peoples, their places, Nation, and cultural contexts, and networking and amplifying localized efforts through visiting, sharing, and trans-national Indigenous diplomacy","              $2,295,000","                      $0","3 yrs 0 mth "
"Aimone, Ashley M",Hospital for Sick Children (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201110GSD,Doctoral Research Awards - B,"Home fortification with micronutrient powders in malaria endemic areas: Spatial patterns of morbidity and associated risks among Ghanaian children and implications for knowledge translation, implementation and scale-up","                $105,000","                      $0","3 yrs 0 mth "
"Ainge, Timothy D","Simon Fraser University (Burnaby, B.C.)",Travel Awards - Institute Community Support,201701ISU,Summer Program in Aging,A Model of Health: Using data modelling techniques to predict health outcomes and optimize physical activity interventions for older Canadian adults,"                  $1,000","                      $0","1 yr 0 mth "
"Aitken, Madison; Henderson, Jo",Centre for Addiction and Mental Health (Toronto),"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",Understanding Dynamics of Risk and Protective Factors and Children's Mental Health During the COVID-19 Pandemic,"                $141,613","                      $0","1 yr 0 mth "
"Aitken, Nicole M",Carleton University (Ottawa),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,"Better together: Moderating the relationship between job insecurity, mental health, and engagement","                $105,000","                      $0","3 yrs 0 mth "
"AJIBOYE, WALE T",Unity Health Toronto,CIHR REDI Early Career Transition Award - HIV/AIDS and STBBI,202305ED6,CIHR REDI Early Career Transition Award,Development and implementation of peer-facilitated decision-making and referral support to increase uptake and adherence to HIV pre-exposure prophylaxis in African Caribbean and Black communities in Ontario,"                $180,000","                      $0","2 yrs 0 mth "
"AJIBOYE, WALE T",Unity Health Toronto,Travel Awards - Institute Community Support,202310ISU,Travel Awards - Institute Community Support,Development and implementation of peer-facilitated decision-making and referral support to increase uptake and adherence to HIV pre-exposure prophylaxis in African Caribbean and Black communities in Ontario,"                  $1,752","                      $0","1 yr 0 mth "
"Alani, Taslim","Lakehead University (Thunder Bay, Ontario)",Doctoral Research Award - PA: IAPH Quantitative Research,201210DQU,Doctoral Research Awards - B,Healing the Whole Self: Developing a Holistic Group Psychotherapy for First Nations Women with Experiences of Intimate Partner Violence,"                $108,000","                      $0","3 yrs 0 mth "
"Alary, Michel",Université Laval,Foundation Grant,201409FDN,Foundation Grant,Vers des approches plus efficientes en prévention du VIH et en santé reproductive au travers une approche d'équité en santé: programme de recherche  interventionnelle chez les femmes travailleuses du sexe en Afrique de l'Ouest.,"              $4,641,090","                      $0","7 yrs 0 mth "
"Alary, Michel; Akinocho, Evelyne; Kpatchavi, Adolphe C",Université Laval,Operating Grant: Programmatic Grants to tackle health and health equity,201103ROH,Programmatic Grant in Health and Health Equity,"Travail du sexe, marginalisation et santé : approches de recherche visant l'équité en santé en contexte prostitutionnel béninois","              $1,970,271","                      $0","5 yrs 0 mth "
"Alary, Michel; Kpatchavi, Adolphe C",Université Laval,Operating Grant: Programmatic Grants to tackle health and health equity - LOI,201007ROG,Programmatic Grant in Health & Health Equity (LOI),"Travail du sexe, marginalisation et santé : approches de recherche visant l'équité en santé en contexte prostitutionnel béninois","                 $14,988","                      $0","0 yr 5 mths "
"Alary, Michel",Université Laval,CIHR-IPPH Trailblazer Award - Senior Career Population/Public Health Researcher,201811TLC,CIHR-IPPH Trailblazer Award in Population Health Solutions,A career devoted to intervention and population health research for the prevention of HIV and other sexually transmitted infections among the most vulnerable populations with a global perspective of health equity,"                 $12,500","                      $0","1 yr 0 mth "
"Albagli, Andrea",University of Toronto,CIHR Café Scientifique Program,201106SCI,CIHR Café Scientifique Program,Facilitating Public Conversations on Public Health: Cafe Scientifique Discussion Series at Thorncliffe Park,"                  $3,000","                      $0","1 yr 0 mth "
"Alberga, Angela S",University of Calgary,Banting Postdoctoral Fellowship Program,201409BPF,Banting Postdoctoral Fellowships Program,Weight bias in the health and education sectors: Implications for population and public health,"                $140,000","                      $0","2 yrs 0 mth "
"Alberga, Angela S; Cook, Jocelynn L; Cohen, Tamara R","Concordia University (Montreal, Quebec)","Operating Grant: ECI grants in Maternal, Reproductive, Child & Youth Health",202102MRC,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health",Conversation Cards for Moms: A mixed methods study to create and evaluate a new clinical tool for use in maternity care settings,"                $105,000","                      $0","3 yrs 0 mth "
"Albert, Valérie",Université du Québec à Montréal,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201110GSD,Doctoral Research Awards - B,Évaluation systématique d'interventions ergonomiques visant la prévention durable des troubles musculosquelettiques en milieu de travail: identification des stratégies d'intervention performantes,"                $105,000","                      $0","3 yrs 0 mth "
"Alexander, Stephanie A",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Population and Public Health - Travel Awards,"To be, or not to be reflexive...is this the question? Exploring reflexivity in health promotion","                  $2,479","                      $0","0 yr 3 mths "
"Aleyan, Sarah",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201701ISU,CPHA Conference,Evaluating the impact of changes in school-based tobacco programming on smoking susceptibility outcomes among never smokers between Year 2 and Year 3 of COMPASS study,"                  $1,500","                      $0","1 yr 0 mth "
"Al Ghali, Rola",University of Ontario Institute of Technology,Doctoral Research Award: Canada Graduate Scholarships,202211FBD,Doctoral Research Awards - B,Investigating the contextual and behavioural factors related to sodium intake among adult Canadians.,"                $105,000","                      $0","3 yrs 0 mth "
"Ali, Elena",University of Calgary,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201710GSD,Doctoral Research Awards - B,Child's Behavioral Problems: Prenatal Anxiety Programming Effects and Moderation by Maternal-Child Attachment Security and Child's Sex,"                $105,000","                      $0","3 yrs 0 mth "
"Ali, Shehzad; Biro, Suzanne C",University of Western Ontario,Catalyst Grant: Quadruple Aim and Equity,202110QAE,Catalyst Grant : Quadruple Aim and Equity,Monitoring inequities in the utilization of preventative services at the local decision-making level: developing a practical approach using cancer screening data in Ontario,"                 $99,919","                      $0","1 yr 0 mth "
"Ali, Syed H; Kurasawa, Fuyuki","York University (Toronto, Ontario)","Operating Grant: COVID-19 - Social dynamics, communication and trust",202002OV6,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,COVID-19's Informational Virus: Analyzing the Viral Character and Effects of Social Media Misinformation,"                $308,183","                      $0","2 yrs 0 mth "
"Allana, Saleema",University of Western Ontario,Planning and Dissemination Grant - Institute Community Support,202207PCS,Planning and Dissemination - IA,"Exploring Self-Care and Family Caregiving among Older Adults with Heart Failure through an Intersectional Lens: Developing a Research Agenda, Network, and Partnerships","                  $5,755","                      $0","1 yr 0 mth "
"Allan, Billie",Unity Health Toronto,Planning and Dissemination Grant - Institute Community Support,201402PCS,Planning and Dissemination - IIPH,"First Peoples, second class treatment: Examining the role of racism in the health and well-being of Indigenous peoples","                 $10,000","                      $0","1 yr 0 mth "
"Allan, Billie",Direct Payment,"Planning Grants - PA: First Nations, Inuit or Métis Planning Activities",201110PME,Planning Grants,"For Our Grandmothers, Aunties, Sisters and Daughters: Identifying Research Priorities in Aboriginal Women's Health","                 $24,600","                      $0","1 yr 0 mth "
